QAOA;WFQAOA;HQAOA
-1.068;-1.400;-1.555;
-1.887;-1.880;-1.828;
-0.668;-1.698;-1.074;
-0.375;-1.244;-1.105;
-0.281;-1.679;-1.395;
-1.182;-1.203;-0.963;
-1.944;-1.961;-1.842;
-0.226;-1.136;-1.131;
-0.064;-1.859;-1.450;
-0.713;-0.861;-1.713;
-1.355;-1.339;-1.728;
-0.173;-1.431;-1.770;
-0.715;-1.819;-1.466;
-0.737;-1.580;-1.661;
-0.827;-0.867;-1.020;
-0.374;-1.539;-1.147;
-0.638;-1.313;-1.175;
-1.104;-1.570;-1.458;
-0.107;-1.575;-1.737;
-1.919;-1.986;-1.929;
-1.713;-1.285;-0.904;
-0.865;-1.040;-1.824;
-1.517;-1.618;-1.619;
-0.055;-1.793;-1.602;
-1.462;-1.115;-1.037;
-0.009;-1.654;-1.451;
-0.147;-1.453;-1.503;
-0.688;-1.473;-1.692;
-0.131;-1.052;-1.231;
-1.377;-1.128;-0.829;
-1.166;-1.269;-1.436;
-0.223;-0.981;-0.883;
-0.170;-1.236;-1.080;
-1.350;-1.457;-1.781;
-1.496;-0.756;-0.986;
-0.529;-1.393;-0.897;
-1.160;-1.095;-1.211;
-0.002;-1.240;-1.698;
-0.158;-1.581;-1.492;
-1.798;-1.839;-1.482;
-1.007;-1.303;-1.532;
-0.647;-1.900;-1.955;
-0.143;-1.426;-1.242;
-0.396;-1.721;-1.372;
-0.524;-1.360;-1.249;
-0.381;-1.584;-1.348;
-0.658;-1.646;-1.866;
-0.638;-1.531;-1.603;
-0.851;-1.053;-1.169;
-0.688;-1.408;-1.452;
